date,customer_id,region,purchase_frequency,days_since_last_purchase,avg_basket_size,payment_delay_days,returns_count,churn_probability,churn_flag
2024-01-01,CUST_1112,Pune,9.6,0,3700.34,2,1,0.022,0
2024-01-01,CUST_1265,Delhi,10.7,0,1410.88,0,0,0.021,0
2024-01-01,CUST_1272,Kolkata,6.1,35,2342.0,3,1,0.306,0
2024-01-01,CUST_1424,Chennai,8.9,16,1046.21,3,0,0.07,0
2024-01-01,CUST_1230,Kolkata,9.5,6,4857.78,0,0,0.015,0
2024-01-01,CUST_1229,Ahmedabad,9.3,1,2660.49,4,0,0.015,0
2024-01-01,CUST_1216,Mumbai,8.8,0,2735.87,0,0,0.011,0
2024-01-01,CUST_1294,Kolkata,9.1,10,3405.26,0,0,0.049,0
2024-01-01,CUST_1119,Pune,3.9,45,2661.36,4,0,0.188,0
2024-01-01,CUST_1301,Delhi,4.5,6,567.02,0,0,0.059,0
2024-01-01,CUST_1448,Pune,8.5,45,1737.62,15,2,0.306,0
2024-01-01,CUST_1318,Bangalore,9.5,14,1340.5,0,0,0.042,0
2024-01-01,CUST_1264,Hyderabad,10.2,0,4513.15,0,0,0.022,0
2024-01-01,CUST_1029,Kolkata,4.8,28,818.9,3,2,0.156,0
2024-01-01,CUST_1201,Delhi,6.2,3,1412.96,0,2,0.031,0
2024-01-01,CUST_1498,Kolkata,8.9,4,2113.41,0,0,0.045,0
2024-01-01,CUST_1068,Bangalore,8.4,8,2467.7,1,1,0.022,0
2024-01-01,CUST_1033,Chennai,7.6,0,1119.83,1,1,0.037,0
2024-01-01,CUST_1109,Chennai,7.8,18,4455.5,0,1,0.076,0
2024-01-01,CUST_1075,Hyderabad,6.2,33,922.86,5,0,0.16,0
2024-01-01,CUST_1186,Ahmedabad,3.9,2,2583.19,4,0,0.021,0
2024-01-01,CUST_1168,Pune,5.3,9,2496.62,0,0,0.016,0
2024-01-01,CUST_1038,Hyderabad,5.9,1,4608.56,2,0,0.032,0
2024-01-01,CUST_1443,Chennai,6.2,0,2733.8,4,0,0.011,0
2024-01-01,CUST_1426,Delhi,4.4,0,2957.01,0,1,0.025,0
2024-01-01,CUST_1233,Ahmedabad,7.3,6,3399.33,0,0,0.02,0
2024-01-01,CUST_1002,Hyderabad,10.1,16,3479.24,5,1,0.057,0
2024-01-01,CUST_1291,Chennai,6.5,2,4249.26,0,0,0.074,0
2024-01-01,CUST_1062,Pune,7.3,14,2158.95,1,0,0.049,0
2024-01-01,CUST_1185,Delhi,6.0,9,4736.35,2,1,0.061,0
2024-01-01,CUST_1295,Mumbai,7.5,8,3012.43,6,1,0.022,0
2024-01-01,CUST_1343,Pune,3.3,13,1314.49,0,0,0.016,0
2024-01-01,CUST_1111,Pune,8.3,0,1048.29,2,0,0.039,0
2024-01-01,CUST_1482,Ahmedabad,9.2,5,3154.59,0,0,0.016,0
2024-01-01,CUST_1198,Kolkata,7.6,6,1353.64,0,0,0.021,0
2024-01-01,CUST_1455,Delhi,6.2,4,4821.38,1,0,0.045,0
2024-01-01,CUST_1148,Ahmedabad,7.9,5,4498.91,6,0,0.026,0
2024-01-01,CUST_1308,Pune,4.8,62,3727.87,16,3,0.35,1
2024-01-01,CUST_1327,Chennai,5.0,13,3182.6,0,0,0.033,0
2024-01-01,CUST_1099,Delhi,7.3,7,2647.25,0,0,0.059,0
2024-01-01,CUST_1370,Pune,11.0,16,961.93,3,0,0.022,0
2024-01-01,CUST_1237,Kolkata,8.4,0,3118.24,0,0,0.032,0
2024-01-01,CUST_1276,Delhi,9.5,3,2409.02,0,0,0.013,0
2024-01-01,CUST_1030,Chennai,9.7,22,3330.17,6,0,0.074,0
2024-01-01,CUST_1271,Bangalore,8.3,3,3125.27,0,0,0.035,0
2024-01-01,CUST_1183,Mumbai,7.7,3,1637.31,5,0,0.057,0
