date,fuel_price_inr,weather_disruption_index,news_sentiment_score,usd_inr,cpi_proxy,trends_score,logistics_cost_index
2024-01-01,95.88,0.011,0.382,83.54,5.49,53,1.012
2024-01-02,95.54,0.054,0.103,82.76,5.45,48,1.022
2024-01-03,95.8,0.048,0.077,83.69,5.21,53,1.022
2024-01-04,95.6,0.069,-0.145,82.19,5.51,54,1.027
2024-01-05,95.37,0.152,0.094,81.95,5.65,49,1.049
2024-01-06,93.65,0.004,0.333,83.49,5.73,59,0.988
2024-01-07,95.31,0.186,-0.283,81.48,5.44,55,1.059
2024-01-08,94.58,0.063,-0.377,83.04,5.73,50,1.015
2024-01-09,95.21,0.007,-0.008,82.65,5.3,54,1.004
2024-01-10,95.7,0.025,-0.05,83.08,5.36,55,1.014
2024-01-11,95.21,0.132,0.393,82.66,5.64,59,1.042
2024-01-12,94.9,0.056,0.101,82.66,5.6,51,1.016
2024-01-13,95.08,0.082,0.228,82.38,5.41,57,1.025
2024-01-14,94.8,0.139,0.347,82.87,5.34,65,1.04
2024-01-15,95.19,0.13,0.007,83.3,5.37,53,1.041
2024-01-16,96.35,0.005,-0.559,82.28,5.28,41,1.015
2024-01-17,95.44,0.039,-0.096,82.94,5.26,48,1.016
2024-01-18,94.67,0.08,0.079,83.2,5.47,52,1.021
2024-01-19,94.25,0.003,0.056,83.04,5.55,57,0.993
2024-01-20,95.01,0.009,-0.116,82.2,5.57,35,1.003
2024-01-21,95.03,0.152,0.46,82.99,5.73,44,1.046
2024-01-22,94.18,0.174,-0.395,82.98,5.33,45,1.044
2024-01-23,95.25,0.173,0.429,82.01,5.6,53,1.054
2024-01-24,96.6,0.138,0.005,83.31,5.41,70,1.057
2024-01-25,94.83,0.192,0.328,84.37,5.47,47,1.056
2024-01-26,94.53,0.141,0.256,82.79,5.42,55,1.038
2024-01-27,95.46,0.069,0.312,83.53,5.5,39,1.025
2024-01-28,94.86,0.199,-0.203,84.43,5.45,49,1.058
2024-01-29,95.41,0.029,0.243,82.8,5.47,66,1.013
2024-01-30,94.96,0.048,0.301,84.18,5.65,44,1.014
2024-01-31,94.9,0.095,0.218,82.59,5.68,72,1.027
2024-02-01,95.44,0.03,0.284,81.65,5.44,53,1.013
2024-02-02,95.69,0.094,-0.001,84.04,5.67,43,1.035
2024-02-03,95.43,0.145,-0.115,83.89,5.7,55,1.048
2024-02-04,95.29,0.114,0.985,85.05,5.57,50,1.037
