date,facility,utilization_pct,downtime_minutes,maintenance_flag
2024-01-01,DC-Mumbai,49.0,0,0
2024-01-01,DC-Delhi,71.7,0,0
2024-01-01,DC-Bangalore,77.7,0,1
2024-01-01,Cloud-AWS-AP-South,76.9,0,0
2024-01-02,DC-Mumbai,45.6,0,0
2024-01-02,DC-Delhi,60.8,0,0
2024-01-02,DC-Bangalore,0.0,140,0
2024-01-02,Cloud-AWS-AP-South,75.4,0,0
2024-01-03,DC-Mumbai,81.7,0,0
2024-01-03,DC-Delhi,87.9,0,0
2024-01-03,DC-Bangalore,55.8,0,0
2024-01-03,Cloud-AWS-AP-South,60.3,0,0
2024-01-04,DC-Mumbai,83.8,0,0
2024-01-04,DC-Delhi,80.9,0,0
2024-01-04,DC-Bangalore,51.6,0,0
2024-01-04,Cloud-AWS-AP-South,60.6,0,0
2024-01-05,DC-Mumbai,65.4,0,0
2024-01-05,DC-Delhi,66.8,0,0
2024-01-05,DC-Bangalore,66.9,0,0
2024-01-05,Cloud-AWS-AP-South,62.6,0,1
2024-01-06,DC-Mumbai,52.7,0,0
2024-01-06,DC-Delhi,79.7,0,0
2024-01-06,DC-Bangalore,72.1,0,0
2024-01-06,Cloud-AWS-AP-South,62.1,0,0
2024-01-07,DC-Mumbai,56.8,0,0
2024-01-07,DC-Delhi,63.5,0,0
2024-01-07,DC-Bangalore,67.5,0,0
2024-01-07,Cloud-AWS-AP-South,81.4,0,0
2024-01-08,DC-Mumbai,57.4,0,0
2024-01-08,DC-Delhi,48.3,0,0
2024-01-08,DC-Bangalore,89.9,0,0
2024-01-08,Cloud-AWS-AP-South,72.8,0,0
2024-01-09,DC-Mumbai,69.0,0,0
2024-01-09,DC-Delhi,89.4,0,0
2024-01-09,DC-Bangalore,61.9,0,0
2024-01-09,Cloud-AWS-AP-South,68.8,0,0
2024-01-10,DC-Mumbai,56.8,0,0
2024-01-10,DC-Delhi,86.5,0,0
2024-01-10,DC-Bangalore,47.8,0,0
2024-01-10,Cloud-AWS-AP-South,72.1,0,1
2024-01-11,DC-Mumbai,50.7,0,0
2024-01-11,DC-Delhi,80.0,0,0
2024-01-11,DC-Bangalore,56.7,0,1
2024-01-11,Cloud-AWS-AP-South,83.1,0,0
2024-01-12,DC-Mumbai,71.7,0,0
2024-01-12,DC-Delhi,54.3,0,0
2024-01-12,DC-Bangalore,81.6,0,0
2024-01-12,Cloud-AWS-AP-South,69.8,0,0
2024-01-13,DC-Mumbai,48.4,0,0
2024-01-13,DC-Delhi,84.8,0,0
2024-01-13,DC-Bangalore,73.2,0,0
2024-01-13,Cloud-AWS-AP-South,65.8,0,0
2024-01-14,DC-Mumbai,87.2,0,0
2024-01-14,DC-Delhi,73.2,0,0
2024-01-14,DC-Bangalore,82.7,0,0
2024-01-14,Cloud-AWS-AP-South,75.3,0,0
2024-01-15,DC-Mumbai,45.5,0,0
2024-01-15,DC-Delhi,88.1,0,0
2024-01-15,DC-Bangalore,81.4,0,0
2024-01-15,Cloud-AWS-AP-South,78.2,0,0
2024-01-16,DC-Mumbai,72.2,0,0
2024-01-16,DC-Delhi,76.5,0,0
2024-01-16,DC-Bangalore,63.7,0,0
2024-01-16,Cloud-AWS-AP-South,70.7,0,0
2024-01-17,DC-Mumbai,79.8,0,0
2024-01-17,DC-Delhi,60.2,0,0
2024-01-17,DC-Bangalore,58.0,0,0
2024-01-17,Cloud-AWS-AP-South,66.0,0,0
2024-01-18,DC-Mumbai,54.2,0,0
2024-01-18,DC-Delhi,73.9,0,0
2024-01-18,DC-Bangalore,81.6,0,0
2024-01-18,Cloud-AWS-AP-South,64.8,0,0
2024-01-19,DC-Mumbai,55.4,0,0
2024-01-19,DC-Delhi,45.5,0,0
2024-01-19,DC-Bangalore,88.8,0,1
2024-01-19,Cloud-AWS-AP-South,0.0,39,0
2024-01-20,DC-Mumbai,75.9,0,0
2024-01-20,DC-Delhi,61.9,0,0
2024-01-20,DC-Bangalore,67.0,0,0
2024-01-20,Cloud-AWS-AP-South,76.8,0,0
2024-01-21,DC-Mumbai,89.3,0,0
2024-01-21,DC-Delhi,82.6,0,0
2024-01-21,DC-Bangalore,90.7,0,0
2024-01-21,Cloud-AWS-AP-South,78.2,0,0
2024-01-22,DC-Mumbai,85.9,0,0
2024-01-22,DC-Delhi,86.9,0,0
2024-01-22,DC-Bangalore,51.2,0,0
2024-01-22,Cloud-AWS-AP-South,66.4,0,0
2024-01-23,DC-Mumbai,90.2,0,0
2024-01-23,DC-Delhi,64.9,0,0
2024-01-23,DC-Bangalore,79.9,0,1
2024-01-23,Cloud-AWS-AP-South,67.8,0,0
2024-01-24,DC-Mumbai,72.0,0,0
2024-01-24,DC-Delhi,59.9,0,0
2024-01-24,DC-Bangalore,45.9,0,0
2024-01-24,Cloud-AWS-AP-South,67.7,0,0
2024-01-25,DC-Mumbai,57.8,0,0
2024-01-25,DC-Delhi,79.2,0,0
2024-01-25,DC-Bangalore,47.6,0,0
2024-01-25,Cloud-AWS-AP-South,61.5,0,0
2024-01-26,DC-Mumbai,62.0,0,0
2024-01-26,DC-Delhi,52.4,0,0
2024-01-26,DC-Bangalore,47.5,0,0
2024-01-26,Cloud-AWS-AP-South,67.1,0,0
2024-01-27,DC-Mumbai,50.0,0,0
2024-01-27,DC-Delhi,70.2,0,0
2024-01-27,DC-Bangalore,79.0,0,0
2024-01-27,Cloud-AWS-AP-South,69.4,0,0
2024-01-28,DC-Mumbai,67.9,0,0
2024-01-28,DC-Delhi,79.9,0,0
2024-01-28,DC-Bangalore,61.9,0,0
2024-01-28,Cloud-AWS-AP-South,83.5,0,0
2024-01-29,DC-Mumbai,48.3,0,0
2024-01-29,DC-Delhi,63.9,0,0
2024-01-29,DC-Bangalore,59.8,0,0
2024-01-29,Cloud-AWS-AP-South,82.0,0,0
2024-01-30,DC-Mumbai,78.5,0,0
2024-01-30,DC-Delhi,82.9,0,0
2024-01-30,DC-Bangalore,67.8,0,0
2024-01-30,Cloud-AWS-AP-South,70.2,0,0
2024-01-31,DC-Mumbai,80.9,0,0
2024-01-31,DC-Delhi,76.1,0,0
2024-01-31,DC-Bangalore,45.2,0,0
2024-01-31,Cloud-AWS-AP-South,84.3,0,0
2024-02-01,DC-Mumbai,47.6,0,0
2024-02-01,DC-Delhi,56.0,0,0
2024-02-01,DC-Bangalore,67.0,0,0
2024-02-01,Cloud-AWS-AP-South,71.3,0,0
2024-02-02,DC-Mumbai,51.1,0,0
2024-02-02,DC-Delhi,48.8,0,1
2024-02-02,DC-Bangalore,66.1,0,0
2024-02-02,Cloud-AWS-AP-South,84.2,0,0
2024-02-03,DC-Mumbai,81.5,0,0
2024-02-03,DC-Delhi,72.4,0,0
2024-02-03,DC-Bangalore,61.7,0,0
2024-02-03,Cloud-AWS-AP-South,81.2,0,0
2024-02-04,DC-Mumbai,79.4,0,0
2024-02-04,DC-Delhi,61.1,0,0
2024-02-04,DC-Bangalore,81.3,0,0
2024-02-04,Cloud-AWS-AP-South,77.9,0,0
2024-02-05,DC-Mumbai,68.3,0,0
2024-02-05,DC-Delhi,87.7,0,0
2024-02-05,DC-Bangalore,53.0,0,0
2024-02-05,Cloud-AWS-AP-South,73.1,0,0
2024-02-06,DC-Mumbai,57.7,0,0
2024-02-06,DC-Delhi,91.4,0,0
2024-02-06,DC-Bangalore,65.1,0,0
2024-02-06,Cloud-AWS-AP-South,61.5,0,0
2024-02-07,DC-Mumbai,74.7,0,0
2024-02-07,DC-Delhi,70.1,0,0
2024-02-07,DC-Bangalore,71.5,0,0
2024-02-07,Cloud-AWS-AP-South,79.4,0,0
2024-02-08,DC-Mumbai,59.4,0,0
2024-02-08,DC-Delhi,50.2,0,0
2024-02-08,DC-Bangalore,57.6,0,0
2024-02-08,Cloud-AWS-AP-South,0.0,180,0
2024-02-09,DC-Mumbai,75.9,0,0
2024-02-09,DC-Delhi,87.4,0,0
2024-02-09,DC-Bangalore,68.3,0,0
2024-02-09,Cloud-AWS-AP-South,68.6,0,0
2024-02-10,DC-Mumbai,64.2,0,0
2024-02-10,DC-Delhi,65.4,0,0
2024-02-10,DC-Bangalore,81.0,0,0
2024-02-10,Cloud-AWS-AP-South,64.2,0,0
2024-02-11,DC-Mumbai,76.2,0,0
2024-02-11,DC-Delhi,53.2,0,0
2024-02-11,DC-Bangalore,61.2,0,0
2024-02-11,Cloud-AWS-AP-South,82.3,0,0
2024-02-12,DC-Mumbai,59.7,0,0
2024-02-12,DC-Delhi,81.3,0,0
2024-02-12,DC-Bangalore,84.1,0,0
2024-02-12,Cloud-AWS-AP-South,60.4,0,0
2024-02-13,DC-Mumbai,58.0,0,1
2024-02-13,DC-Delhi,68.2,0,0
2024-02-13,DC-Bangalore,90.3,0,0
2024-02-13,Cloud-AWS-AP-South,64.5,0,0
2024-02-14,DC-Mumbai,89.4,0,0
2024-02-14,DC-Delhi,73.5,0,0
2024-02-14,DC-Bangalore,63.7,0,0
2024-02-14,Cloud-AWS-AP-South,68.8,0,0
2024-02-15,DC-Mumbai,47.1,0,0
2024-02-15,DC-Delhi,83.7,0,0
2024-02-15,DC-Bangalore,90.3,0,0
2024-02-15,Cloud-AWS-AP-South,72.5,0,0
2024-02-16,DC-Mumbai,82.1,0,0
2024-02-16,DC-Delhi,67.8,0,0
2024-02-16,DC-Bangalore,80.2,0,1
2024-02-16,Cloud-AWS-AP-South,77.8,0,0
2024-02-17,DC-Mumbai,67.9,0,0
2024-02-17,DC-Delhi,66.2,0,0
2024-02-17,DC-Bangalore,54.5,0,0
2024-02-17,Cloud-AWS-AP-South,75.9,0,0
2024-02-18,DC-Mumbai,68.0,0,0
2024-02-18,DC-Delhi,77.3,0,0
2024-02-18,DC-Bangalore,45.6,0,0
2024-02-18,Cloud-AWS-AP-South,81.0,0,1
2024-02-19,DC-Mumbai,88.7,0,0
2024-02-19,DC-Delhi,48.5,0,0
