date,category,region,vendor_id,stock_level_pct,reorder_point_pct,stockout_risk,procurement_cost_index,demand_forecast_units,supply_gap_units,inventory_turnover_ratio,stock_shortage_incidents
2024-01-01,FMCG-Food,Kolkata,Vendor_H,32.1,25.8,0.0,1.113,15722,3148,8.18,0
2024-01-01,FMCG-Food,Chennai,Vendor_C,23.9,27.8,0.14,1.021,31675,584,4.18,0
2024-01-01,FMCG-Food,Pune,Vendor_N,59.0,39.1,0.0,1.02,40436,0,7.87,0
2024-01-01,FMCG-Food,Bangalore,Vendor_G,93.1,37.5,0.0,0.961,19886,0,5.8,0
2024-01-01,FMCG-Beverage,Pune,Vendor_B,26.2,36.5,0.282,1.227,14173,0,5.18,0
2024-01-01,FMCG-Beverage,Delhi,Vendor_F,70.4,39.2,0.0,1.064,12144,0,6.05,0
2024-01-01,FMCG-Beverage,Chennai,Vendor_F,66.6,35.6,0.0,1.133,14936,0,7.28,0
2024-01-01,FMCG-Beverage,Bangalore,Vendor_D,89.8,29.2,0.0,1.187,25428,0,5.93,0
2024-01-01,FMCG-Personal Care,Kolkata,Vendor_H,49.9,29.0,0.0,1.059,11919,0,3.37,0
2024-01-01,FMCG-Personal Care,Delhi,Vendor_F,49.1,29.0,0.0,1.205,18203,29,6.62,0
2024-01-01,FMCG-Personal Care,Mumbai,Vendor_I,49.1,35.4,0.0,0.907,14313,2104,8.13,0
2024-01-01,FMCG-Personal Care,Chennai,Vendor_M,85.0,36.4,0.0,1.062,6120,1822,4.68,0
2024-01-01,FMCG-Home Care,Bangalore,Vendor_M,26.6,28.0,0.05,0.938,22225,0,8.41,0
2024-01-01,FMCG-Home Care,Chennai,Vendor_C,80.3,29.8,0.0,1.114,5571,1461,2.64,0
2024-01-01,FMCG-Home Care,Hyderabad,Vendor_K,49.2,38.1,0.0,1.109,30699,0,4.46,0
2024-01-01,FMCG-Home Care,Mumbai,Vendor_H,92.2,37.7,0.0,0.941,13983,0,2.68,0
2024-01-01,FMCG-Health,Hyderabad,Vendor_N,24.3,26.5,0.083,1.154,34606,944,3.27,1
2024-01-01,FMCG-Health,Bangalore,Vendor_O,59.3,36.3,0.0,1.063,5154,0,7.62,0
2024-01-01,FMCG-Health,Mumbai,Vendor_C,48.9,30.1,0.0,0.922,26962,287,5.29,0
2024-01-01,FMCG-Health,Pune,Vendor_H,52.8,36.2,0.0,1.192,25954,0,4.14,0
2024-01-04,FMCG-Food,Hyderabad,Vendor_M,89.1,30.0,0.0,0.949,24465,183,8.0,0
2024-01-04,FMCG-Food,Ahmedabad,Vendor_D,35.3,38.5,0.084,1.033,23175,0,5.58,0
2024-01-04,FMCG-Food,Mumbai,Vendor_C,54.3,35.8,0.0,1.036,15385,0,6.15,0
2024-01-04,FMCG-Food,Pune,Vendor_K,85.9,32.3,0.0,0.862,38083,677,5.75,0
2024-01-04,FMCG-Beverage,Pune,Vendor_M,42.1,37.1,0.0,0.996,27470,408,7.76,0
2024-01-04,FMCG-Beverage,Delhi,Vendor_J,53.5,34.3,0.0,1.2,18027,0,7.59,0
2024-01-04,FMCG-Beverage,Chennai,Vendor_O,38.7,35.3,0.0,1.025,39405,0,4.85,0
2024-01-04,FMCG-Beverage,Bangalore,Vendor_G,85.2,29.0,0.0,1.085,38344,0,5.33,0
2024-01-04,FMCG-Personal Care,Delhi,Vendor_A,84.3,31.8,0.0,1.032,29762,0,7.58,0
2024-01-04,FMCG-Personal Care,Pune,Vendor_M,47.7,38.3,0.0,0.891,23627,0,2.59,0
2024-01-04,FMCG-Personal Care,Bangalore,Vendor_I,78.5,38.9,0.0,1.085,13889,0,3.41,0
2024-01-04,FMCG-Personal Care,Chennai,Vendor_I,82.0,31.9,0.0,1.11,8430,0,3.64,0
2024-01-04,FMCG-Home Care,Ahmedabad,Vendor_J,36.4,34.9,0.0,0.891,23957,2340,5.62,0
2024-01-04,FMCG-Home Care,Mumbai,Vendor_J,40.4,36.8,0.0,1.101,26623,919,4.48,0
2024-01-04,FMCG-Home Care,Hyderabad,Vendor_F,88.8,25.9,0.0,0.933,38238,0,5.11,0
2024-01-04,FMCG-Home Care,Delhi,Vendor_H,43.4,31.6,0.0,0.959,30534,1777,2.95,0
2024-01-04,FMCG-Health,Hyderabad,Vendor_C,63.4,30.0,0.0,0.875,19495,34,2.97,0
2024-01-04,FMCG-Health,Ahmedabad,Vendor_I,24.6,26.4,0.067,1.119,8963,0,4.43,0
2024-01-04,FMCG-Health,Delhi,Vendor_K,75.7,36.7,0.0,0.934,35383,3315,4.96,0
2024-01-04,FMCG-Health,Pune,Vendor_B,36.3,39.3,0.076,1.154,19575,2512,3.36,1
2024-01-07,FMCG-Food,Hyderabad,Vendor_C,80.2,34.0,0.0,1.047,35200,1757,4.79,0
2024-01-07,FMCG-Food,Kolkata,Vendor_E,72.7,39.9,0.0,0.867,24188,0,4.19,0
2024-01-07,FMCG-Food,Pune,Vendor_F,38.7,30.6,0.0,1.015,35953,2581,2.98,0
2024-01-07,FMCG-Food,Delhi,Vendor_I,52.3,27.1,0.0,1.069,16851,0,7.97,0
2024-01-07,FMCG-Beverage,Hyderabad,Vendor_L,74.0,29.1,0.0,1.213,7878,874,4.55,0
2024-01-07,FMCG-Beverage,Ahmedabad,Vendor_J,54.0,26.8,0.0,1.145,34283,0,5.14,0
2024-01-07,FMCG-Beverage,Delhi,Vendor_N,21.5,35.1,0.387,0.956,6472,0,6.83,2
2024-01-07,FMCG-Beverage,Pune,Vendor_N,89.1,33.5,0.0,1.04,6049,0,5.1,0
2024-01-07,FMCG-Personal Care,Mumbai,Vendor_I,69.3,37.3,0.0,1.212,16436,3988,8.02,0
2024-01-07,FMCG-Personal Care,Kolkata,Vendor_E,43.3,33.4,0.0,1.133,9128,0,3.87,0
2024-01-07,FMCG-Personal Care,Bangalore,Vendor_K,25.4,27.8,0.085,0.967,24542,0,8.04,2
2024-01-07,FMCG-Personal Care,Pune,Vendor_M,36.4,29.2,0.0,0.953,7856,1237,5.06,0
2024-01-07,FMCG-Home Care,Kolkata,Vendor_C,84.7,31.2,0.0,1.005,12684,2288,6.6,0
2024-01-07,FMCG-Home Care,Chennai,Vendor_H,71.2,31.0,0.0,1.171,17243,0,4.53,0
2024-01-07,FMCG-Home Care,Ahmedabad,Vendor_E,68.2,27.4,0.0,0.851,7752,0,3.21,0
2024-01-07,FMCG-Home Care,Mumbai,Vendor_O,29.2,29.2,0.003,1.052,9802,0,3.4,0
2024-01-07,FMCG-Health,Ahmedabad,Vendor_N,59.5,28.5,0.0,1.042,35101,2546,5.53,0
2024-01-07,FMCG-Health,Hyderabad,Vendor_D,50.4,27.0,0.0,0.895,32988,2085,7.89,0
2024-01-07,FMCG-Health,Chennai,Vendor_G,63.2,27.8,0.0,1.028,20007,0,7.55,0
2024-01-07,FMCG-Health,Mumbai,Vendor_D,65.2,35.7,0.0,0.893,39785,4746,5.24,0
2024-01-10,FMCG-Food,Delhi,Vendor_H,89.2,39.5,0.0,1.052,33390,0,2.72,0
2024-01-10,FMCG-Food,Bangalore,Vendor_K,43.1,31.0,0.0,1.108,17097,0,7.73,0
2024-01-10,FMCG-Food,Mumbai,Vendor_N,51.3,28.1,0.0,0.935,6739,4395,2.9,0
2024-01-10,FMCG-Food,Hyderabad,Vendor_E,30.1,30.7,0.02,0.918,6139,0,7.48,1
2024-01-10,FMCG-Beverage,Ahmedabad,Vendor_J,23.3,31.0,0.25,1.153,21715,0,7.91,1
2024-01-10,FMCG-Beverage,Hyderabad,Vendor_D,39.8,32.1,0.0,1.105,35309,509,5.22,0
2024-01-10,FMCG-Beverage,Delhi,Vendor_F,84.3,38.4,0.0,0.884,28973,0,3.17,0
2024-01-10,FMCG-Beverage,Bangalore,Vendor_I,28.1,33.9,0.171,1.188,21405,1481,5.08,0
2024-01-10,FMCG-Personal Care,Delhi,Vendor_B,74.4,29.5,0.0,0.926,29070,2823,7.72,0
2024-01-10,FMCG-Personal Care,Kolkata,Vendor_H,94.4,36.8,0.0,1.033,16637,3717,2.8,0
2024-01-10,FMCG-Personal Care,Chennai,Vendor_K,20.1,33.9,0.406,0.886,4827,0,2.94,0
2024-01-10,FMCG-Personal Care,Ahmedabad,Vendor_D,63.2,34.9,0.0,1.095,29040,324,3.62,0
2024-01-10,FMCG-Home Care,Chennai,Vendor_H,50.8,36.3,0.0,0.892,14053,1764,8.09,0
2024-01-10,FMCG-Home Care,Hyderabad,Vendor_H,79.5,29.6,0.0,0.871,40054,3726,4.77,0
2024-01-10,FMCG-Home Care,Kolkata,Vendor_O,54.8,25.9,0.0,1.075,19057,423,2.66,0
2024-01-10,FMCG-Home Care,Pune,Vendor_N,27.7,34.5,0.197,1.16,5089,0,3.95,1
2024-01-10,FMCG-Health,Pune,Vendor_L,31.8,30.0,0.0,1.098,30639,0,6.24,0
2024-01-10,FMCG-Health,Bangalore,Vendor_I,84.7,27.6,0.0,1.018,24686,0,7.7,0
2024-01-10,FMCG-Health,Kolkata,Vendor_M,48.0,39.1,0.0,1.241,28151,1192,5.92,0
2024-01-10,FMCG-Health,Mumbai,Vendor_I,20.8,33.9,0.386,0.877,6977,0,3.17,1
2024-01-13,FMCG-Food,Bangalore,Vendor_I,31.5,35.8,0.121,0.887,41631,0,7.58,1
