date,region,category,channel,revenue,units_sold,orders,avg_order_value,cost,margin,margin_pct,anomaly_flag
2024-01-01,Mumbai,FMCG-Food,Institutional,303505.2,6615,330,919.71,189324.28,114180.92,0.373,0
2024-01-01,Mumbai,FMCG-Beverage,E-Commerce,258498.57,4494,280,923.21,157723.08,100775.49,0.4,0
2024-01-01,Mumbai,FMCG-Personal Care,Modern Trade,353361.56,3010,88,4015.47,248866.35,104495.21,0.291,0
2024-01-01,Mumbai,FMCG-Home Care,Modern Trade,330586.67,2688,192,1721.81,248493.73,82092.94,0.264,0
2024-01-01,Mumbai,FMCG-Health,E-Commerce,306178.78,1890,55,5566.89,226524.64,79654.14,0.271,0
2024-01-01,Delhi,FMCG-Food,Export,251168.98,1854,132,1902.8,189045.65,62123.34,0.238,0
2024-01-01,Delhi,FMCG-Beverage,Export,306004.89,3757,75,4080.07,211042.2,94962.69,0.272,0
2024-01-01,Delhi,FMCG-Personal Care,Institutional,181162.83,1161,38,4767.44,116958.61,64204.22,0.343,0
2024-01-01,Delhi,FMCG-Home Care,Institutional,202721.27,2317,56,3620.02,126053.38,76667.89,0.384,0
2024-01-01,Delhi,FMCG-Health,E-Commerce,328579.26,2257,51,6442.73,234112.36,94466.9,0.259,0
2024-01-01,Bangalore,FMCG-Food,Export,333521.51,1856,103,3238.07,222615.97,110905.54,0.328,0
2024-01-01,Bangalore,FMCG-Beverage,Export,249309.09,3743,101,2468.41,183544.9,65764.18,0.235,0
2024-01-01,Bangalore,FMCG-Personal Care,Modern Trade,155160.54,881,88,1763.19,102039.78,53120.75,0.345,0
2024-01-01,Bangalore,FMCG-Home Care,General Trade,259208.91,4315,116,2234.56,178922.52,80286.39,0.317,0
2024-01-01,Bangalore,FMCG-Health,Export,228500.62,2029,96,2380.21,177728.09,50772.53,0.216,0
2024-01-01,Chennai,FMCG-Food,E-Commerce,301864.11,2372,124,2434.39,229509.97,72354.14,0.277,0
2024-01-01,Chennai,FMCG-Beverage,Institutional,288184.8,6393,213,1352.98,199069.3,89115.5,0.288,0
2024-01-01,Chennai,FMCG-Personal Care,General Trade,156427.99,1808,139,1125.38,120857.94,35570.05,0.203,0
2024-01-01,Chennai,FMCG-Home Care,General Trade,315715.17,5809,132,2391.78,245108.43,70606.73,0.184,0
2024-01-01,Chennai,FMCG-Health,General Trade,149741.98,919,24,6239.25,101421.63,48320.34,0.327,0
2024-01-01,Kolkata,FMCG-Food,Institutional,323738.52,3274,99,3270.09,238305.77,85432.75,0.267,0
2024-01-01,Kolkata,FMCG-Beverage,General Trade,297566.48,6220,138,2156.28,200057.54,97508.94,0.322,0
2024-01-01,Kolkata,FMCG-Personal Care,E-Commerce,214865.73,3971,330,651.11,124409.43,90456.31,0.4,0
2024-01-01,Kolkata,FMCG-Home Care,Export,143945.97,2289,49,2937.67,90323.36,53622.61,0.394,0
2024-01-01,Kolkata,FMCG-Health,E-Commerce,228731.19,3937,106,2157.84,169780.32,58950.87,0.222,0
2024-01-01,Hyderabad,FMCG-Food,Modern Trade,225476.55,1267,79,2854.13,152326.36,73150.19,0.317,0
2024-01-01,Hyderabad,FMCG-Beverage,General Trade,204164.4,2888,76,2686.37,132452.38,71712.02,0.363,0
2024-01-01,Hyderabad,FMCG-Personal Care,Modern Trade,237561.72,2266,50,4751.23,151087.94,86473.78,0.383,0
2024-01-01,Hyderabad,FMCG-Home Care,General Trade,139862.02,822,32,4370.69,110120.26,29741.75,0.206,0
2024-01-01,Hyderabad,FMCG-Health,Institutional,222303.15,3306,330,673.65,150851.64,71451.51,0.341,0
2024-01-01,Pune,FMCG-Food,Institutional,169288.05,971,21,8061.34,125637.94,43650.11,0.254,0
2024-01-01,Pune,FMCG-Beverage,Modern Trade,143005.78,1209,40,3575.14,91496.33,51509.45,0.336,0
2024-01-01,Pune,FMCG-Personal Care,Modern Trade,147763.37,2804,66,2238.84,100128.24,47635.13,0.349,0
2024-01-01,Pune,FMCG-Home Care,General Trade,276073.18,2774,60,4601.22,163404.81,112668.37,0.4,0
2024-01-01,Pune,FMCG-Health,E-Commerce,237101.24,1954,65,3647.71,138904.75,98196.49,0.4,0
2024-01-01,Ahmedabad,FMCG-Food,Institutional,161739.89,1192,41,3944.88,117730.51,44009.38,0.303,0
2024-01-01,Ahmedabad,FMCG-Beverage,Modern Trade,175128.0,974,60,2918.8,128787.65,46340.35,0.296,0
2024-01-01,Ahmedabad,FMCG-Personal Care,E-Commerce,167657.66,3088,123,1363.07,114633.54,53024.12,0.333,0
2024-01-01,Ahmedabad,FMCG-Home Care,Modern Trade,171680.75,965,22,7803.67,114943.48,56737.27,0.325,0
2024-01-01,Ahmedabad,FMCG-Health,Modern Trade,235279.17,1438,55,4277.8,163275.86,72003.31,0.266,0
2024-01-02,Mumbai,FMCG-Food,General Trade,427209.83,5817,187,2284.54,313318.9,113890.94,0.274,0
2024-01-02,Mumbai,FMCG-Beverage,Modern Trade,426296.96,2543,195,2186.14,322541.26,103755.7,0.233,0
2024-01-02,Mumbai,FMCG-Personal Care,General Trade,343367.6,5479,210,1635.08,258096.76,85270.85,0.238,0
2024-01-02,Mumbai,FMCG-Home Care,Export,786339.93,4788,252,3120.4,294283.85,130152.04,0.313,1
2024-01-02,Mumbai,FMCG-Health,Modern Trade,199620.18,3941,119,1677.48,130758.28,68861.91,0.355,0
2024-01-02,Delhi,FMCG-Food,Export,423741.28,2819,78,5432.58,263404.39,160336.89,0.398,0
2024-01-02,Delhi,FMCG-Beverage,Institutional,360891.45,2359,112,3222.25,278575.86,82315.58,0.222,0
2024-01-02,Delhi,FMCG-Personal Care,E-Commerce,191373.0,1248,49,3905.57,140119.2,51253.8,0.239,0
2024-01-02,Delhi,FMCG-Home Care,Institutional,237337.78,2186,99,2397.35,172014.93,65322.85,0.28,0
2024-01-02,Delhi,FMCG-Health,E-Commerce,280527.61,2091,59,4754.71,210343.15,70184.46,0.245,0
2024-01-02,Bangalore,FMCG-Food,E-Commerce,213986.8,1880,42,5094.92,126696.95,87289.85,0.4,0
