date,vendor_id,on_time_delivery,defect_rate_pct,lead_time_days,payment_delay_days,reliability_score,order_volume,compliance_score
2024-01-01,Vendor_A,0,8.17,10,0,87.0,18871,89.7
2024-01-01,Vendor_B,1,31.79,9,0,66.0,43047,66.2
2024-01-01,Vendor_C,0,44.53,11,6,52.0,32683,44.8
2024-01-01,Vendor_D,1,30.4,12,3,73.0,32032,72.7
2024-01-01,Vendor_E,1,0.0,8,0,90.0,22293,85.4
2024-01-01,Vendor_F,1,17.58,6,0,88.0,4488,88.2
2024-01-01,Vendor_G,1,0.0,6,0,95.0,33197,91.4
2024-01-01,Vendor_H,1,53.28,12,11,48.0,3098,49.0
2024-01-01,Vendor_I,1,24.25,10,2,79.0,29560,75.6
2024-01-01,Vendor_J,0,25.8,8,2,66.0,9367,70.6
2024-01-01,Vendor_K,1,23.95,9,0,72.0,2616,72.6
2024-01-01,Vendor_L,1,11.61,7,1,82.0,26411,76.0
2024-01-01,Vendor_M,1,42.65,13,3,61.0,32588,64.5
2024-01-01,Vendor_N,1,30.03,10,0,72.0,11077,72.6
2024-01-01,Vendor_O,1,9.86,5,0,87.0,8864,80.4
2024-01-08,Vendor_A,1,11.37,6,0,87.0,37947,81.8
2024-01-08,Vendor_B,1,35.01,11,1,66.0,14700,60.0
2024-01-08,Vendor_C,1,54.27,13,4,51.7,1346,56.2
2024-01-08,Vendor_D,1,29.58,11,4,73.0,19987,69.2
2024-01-08,Vendor_E,1,12.88,7,0,90.0,14119,81.0
2024-01-08,Vendor_F,1,9.65,6,1,88.0,5914,87.6
2024-01-08,Vendor_G,0,0.18,10,0,95.0,36269,96.4
2024-01-08,Vendor_H,0,66.6,13,1,47.7,21092,43.6
2024-01-08,Vendor_I,1,19.24,7,2,79.0,16162,72.6
2024-01-08,Vendor_J,1,28.47,9,1,66.0,28401,58.2
2024-01-08,Vendor_K,1,31.72,6,1,72.0,47890,72.2
2024-01-08,Vendor_L,1,18.64,6,0,82.0,32304,84.9
2024-01-08,Vendor_M,0,28.83,14,3,61.0,47770,56.0
2024-01-08,Vendor_N,1,21.55,11,0,72.0,41252,64.0
2024-01-08,Vendor_O,1,17.57,7,0,87.0,48795,88.4
2024-01-15,Vendor_A,1,11.56,6,1,87.0,25186,88.1
2024-01-15,Vendor_B,0,38.49,10,3,66.0,9727,59.8
2024-01-15,Vendor_C,1,40.44,11,2,51.4,26362,53.1
2024-01-15,Vendor_D,0,30.68,10,0,73.0,16925,70.5
2024-01-15,Vendor_E,1,4.69,8,2,90.0,16403,88.5
2024-01-15,Vendor_F,1,18.09,11,0,88.0,32704,88.3
2024-01-15,Vendor_G,1,6.66,5,0,95.0,5484,96.8
2024-01-15,Vendor_H,1,52.21,16,0,47.4,6056,41.0
2024-01-15,Vendor_I,1,22.4,8,0,79.0,29366,75.9
2024-01-15,Vendor_J,0,39.0,8,0,66.0,14703,59.8
2024-01-15,Vendor_K,0,30.13,12,4,72.0,28570,70.1
2024-01-15,Vendor_L,1,11.88,7,0,82.0,42969,80.8
2024-01-15,Vendor_M,1,36.25,13,0,61.0,24673,55.3
2024-01-15,Vendor_N,1,26.13,10,0,72.0,11405,69.4
2024-01-15,Vendor_O,1,20.96,8,0,87.0,8390,87.2
2024-01-22,Vendor_A,1,15.93,9,2,87.0,14256,79.6
2024-01-22,Vendor_B,0,32.95,12,0,66.0,5461,59.4
2024-01-22,Vendor_C,1,45.81,12,0,51.1,1015,44.8
2024-01-22,Vendor_D,1,23.29,11,1,73.0,48391,74.1
2024-01-22,Vendor_E,1,3.79,4,0,90.0,6836,88.8
2024-01-22,Vendor_F,1,8.12,7,1,88.0,21258,88.2
2024-01-22,Vendor_G,1,2.26,10,0,95.0,40396,99.5
2024-01-22,Vendor_H,1,51.12,16,4,47.1,32438,49.1
2024-01-22,Vendor_I,1,19.32,10,1,79.0,36067,77.0
2024-01-22,Vendor_J,1,30.59,11,2,66.0,22045,56.8
2024-01-22,Vendor_K,1,24.95,13,0,72.0,44531,74.5
2024-01-22,Vendor_L,1,18.72,6,0,82.0,30715,84.0
2024-01-22,Vendor_M,0,33.66,10,0,61.0,45039,54.5
2024-01-22,Vendor_N,1,32.0,10,3,72.0,14216,74.2
2024-01-22,Vendor_O,1,11.26,10,0,87.0,31805,88.6
2024-01-29,Vendor_A,1,13.57,12,0,87.0,49409,83.4
2024-01-29,Vendor_B,1,40.14,11,0,66.0,12008,69.3
2024-01-29,Vendor_C,0,42.57,11,5,50.8,18855,44.3
2024-01-29,Vendor_D,1,35.67,9,0,73.0,42031,67.1
2024-01-29,Vendor_E,0,13.88,7,1,90.0,1914,92.0
2024-01-29,Vendor_F,1,13.46,8,0,88.0,18610,83.7
2024-01-29,Vendor_G,1,0.27,1,0,95.0,41830,88.7
2024-01-29,Vendor_H,0,52.42,14,0,46.8,13765,43.0
2024-01-29,Vendor_I,1,17.8,7,0,79.0,17253,83.3
2024-01-29,Vendor_J,0,35.66,10,0,66.0,8093,70.4
2024-01-29,Vendor_K,1,21.51,7,5,72.0,23014,63.7
2024-01-29,Vendor_L,0,25.46,6,0,82.0,25113,73.4
2024-01-29,Vendor_M,0,39.64,11,1,61.0,18108,60.2
2024-01-29,Vendor_N,1,31.71,10,0,72.0,31041,72.8
2024-01-29,Vendor_O,1,14.47,9,0,87.0,12118,82.3
2024-02-05,Vendor_A,1,14.5,6,2,87.0,21365,82.8
2024-02-05,Vendor_B,1,27.37,12,0,66.0,3918,66.9
2024-02-05,Vendor_C,1,58.4,11,0,50.6,22904,50.6
2024-02-05,Vendor_D,0,18.85,6,2,73.0,16614,77.5
2024-02-05,Vendor_E,1,15.14,8,0,90.0,41552,85.9
2024-02-05,Vendor_F,1,17.22,6,0,88.0,15989,79.5
2024-02-05,Vendor_G,1,4.93,6,0,95.0,22823,88.0
2024-02-05,Vendor_H,0,56.18,13,3,46.6,42943,38.3
2024-02-05,Vendor_I,0,24.27,10,0,79.0,5077,71.3
2024-02-05,Vendor_J,0,37.9,11,2,66.0,10096,68.0
2024-02-05,Vendor_K,1,36.39,10,0,72.0,13433,74.8
2024-02-05,Vendor_L,1,12.45,10,0,82.0,18255,81.7
2024-02-05,Vendor_M,1,47.35,7,3,61.0,28741,51.6
2024-02-05,Vendor_N,1,26.69,9,0,72.0,1628,70.0
2024-02-05,Vendor_O,0,17.5,9,0,87.0,34631,83.3
2024-02-12,Vendor_A,1,13.82,9,0,87.0,41268,85.7
2024-02-12,Vendor_B,1,39.54,10,0,66.0,41398,58.2
2024-02-12,Vendor_C,1,50.66,14,1,50.3,35457,50.5
2024-02-12,Vendor_D,1,32.53,5,0,73.0,37076,64.5
2024-02-12,Vendor_E,1,5.39,5,0,90.0,45896,85.9
2024-02-12,Vendor_F,1,15.51,8,0,88.0,7893,91.0
2024-02-12,Vendor_G,1,4.27,9,0,95.0,40442,89.0
2024-02-12,Vendor_H,1,50.96,13,0,46.3,26943,44.8
2024-02-12,Vendor_I,1,18.85,5,4,79.0,24709,74.8
2024-02-12,Vendor_J,1,29.72,12,6,66.0,7809,64.7
2024-02-12,Vendor_K,1,29.08,9,0,72.0,46709,67.7
2024-02-12,Vendor_L,1,15.48,11,0,82.0,7945,75.9
2024-02-12,Vendor_M,0,39.14,14,2,61.0,31040,53.6
2024-02-12,Vendor_N,1,27.26,10,0,72.0,33644,70.2
2024-02-12,Vendor_O,1,10.19,7,0,87.0,19183,80.9
2024-02-19,Vendor_A,1,6.76,8,0,87.0,2009,86.3
2024-02-19,Vendor_B,0,29.5,9,0,66.0,37801,64.4
2024-02-19,Vendor_C,0,46.23,11,0,50.0,7190,48.8
2024-02-19,Vendor_D,0,15.6,9,2,73.0,13695,66.2
2024-02-19,Vendor_E,1,9.41,8,0,90.0,8117,92.2
2024-02-19,Vendor_F,0,4.23,7,0,88.0,3765,80.9
2024-02-19,Vendor_G,1,0.0,6,0,95.0,7919,98.7
2024-02-19,Vendor_H,1,68.27,15,0,46.0,24792,39.8
2024-02-19,Vendor_I,0,10.24,10,5,79.0,15360,72.4
2024-02-19,Vendor_J,0,32.6,9,1,66.0,43955,64.9
2024-02-19,Vendor_K,0,24.01,4,2,72.0,2789,65.2
2024-02-19,Vendor_L,1,14.93,10,0,82.0,46409,75.1
2024-02-19,Vendor_M,0,39.61,13,4,61.0,1920,53.6
2024-02-19,Vendor_N,1,29.16,10,1,72.0,9142,63.3
2024-02-19,Vendor_O,1,15.32,5,0,87.0,14484,90.4
2024-02-26,Vendor_A,1,2.45,9,0,87.0,33313,90.7
2024-02-26,Vendor_B,0,38.1,11,0,66.0,47243,57.2
2024-02-26,Vendor_C,1,49.7,13,0,49.7,41020,51.8
2024-02-26,Vendor_D,1,31.58,14,3,73.0,34747,67.9
2024-02-26,Vendor_E,0,9.87,10,1,90.0,21091,85.3
2024-02-26,Vendor_F,1,5.04,10,0,88.0,20276,79.3
2024-02-26,Vendor_G,1,10.94,8,0,95.0,44032,95.1
2024-02-26,Vendor_H,0,64.47,15,0,45.7,25558,39.9
2024-02-26,Vendor_I,1,23.53,10,0,79.0,43409,76.0
2024-02-26,Vendor_J,1,35.97,10,0,66.0,34098,65.8
2024-02-26,Vendor_K,0,23.89,6,4,72.0,36911,65.3
2024-02-26,Vendor_L,1,16.88,1,0,82.0,36433,85.5
2024-02-26,Vendor_M,1,40.88,7,0,61.0,15829,57.6
2024-02-26,Vendor_N,1,23.62,8,3,72.0,42279,73.9
2024-02-26,Vendor_O,1,12.26,7,1,87.0,37591,86.9
2024-03-04,Vendor_A,1,15.48,4,0,87.0,14064,79.7
